            count         mean          std     min     25%     50%     75%     max
band-69   21025.0  4616.584019   531.161946  2018.0  4313.0  4582.0  4947.0  6472.0
band-70   21025.0  4579.714340   534.434079  2010.0  4280.0  4543.0  4914.0  6445.0
band-71   21025.0  4440.078098   528.192855  1949.0  4154.0  4407.0  4767.0  6255.0
band-72   21025.0  4354.622878   518.592811  1949.0  4080.0  4326.0  4675.0  6107.0
band-73   21025.0  4264.651082   513.644419  1892.0  4005.0  4240.0  4583.0  5948.0
band-74   21025.0  4067.803757   517.317540  1865.0  3849.0  4069.0  4386.0  5672.0
band-75   21025.0  3385.067634   576.567698  1700.0  2761.0  3600.0  3861.0  4941.0
band-76   21025.0  2911.013127   226.445691  1542.0  2770.0  2909.0  3069.0  3920.0
band-77   21025.0  1784.054602    93.553868  1222.0  1728.0  1780.0  1842.0  2182.0
band-78   21025.0  1612.428109    68.588303  1177.0  1571.0  1611.0  1657.0  1936.0
band-79   21025.0  1882.958763    95.291743  1248.0  1825.0  1881.0  1945.0  2377.0
band-80   21025.0  1784.559905    80.640475  1202.0  1736.0  1787.0  1836.0  2319.0
band-81   21025.0  2286.340880   134.026594  1329.0  2203.0  2291.0  2371.0  3204.0
band-82   21025.0  2850.156052   193.029912  1430.0  2729.0  2860.0  2977.0  4206.0
band-83   21025.0  2950.805898   200.340671  1507.0  2823.0  2972.0  3099.0  4469.0
band-84   21025.0  2934.482996   200.976002  1474.0  2803.0  2953.0  3082.0  4471.0
band-85   21025.0  2980.222782   212.453325  1496.0  2841.0  3007.0  3143.0  4660.0
band-86   21025.0  2961.258549   208.090378  1464.0  2825.0  2984.0  3120.0  4651.0
band-87   21025.0  3003.922949   229.583830  1445.0  2848.0  3039.0  3180.0  4856.0
band-88   21025.0  3007.348109   272.076678  1478.0  2769.0  3052.0  3206.0  5002.0
band-89   21025.0  3011.804661   318.922666  1472.0  2707.0  3048.0  3228.0  5198.0
band-90   21025.0  3002.557527   311.789698  1479.0  2699.0  3042.0  3219.0  5190.0
band-91   21025.0  3010.421688   242.519303  1451.0  2837.0  3051.0  3196.0  4967.0
band-92   21025.0  2807.669394   192.724169  1392.0  2686.0  2821.0  2936.0  4444.0
band-93   21025.0  2868.894221   198.113366  1407.0  2743.0  2883.0  3005.0  4620.0
band-94   21025.0  2973.144304   213.607801  1423.0  2833.0  2995.0  3140.0  4894.0
band-95   21025.0  2811.018644   194.061549  1346.0  2691.0  2826.0  2938.0  4296.0
band-96   21025.0  2955.587063   205.392024  1386.0  2828.0  2984.0  3108.0  4580.0
band-97   21025.0  2941.278050   205.606097  1380.0  2810.0  2961.0  3097.0  4563.0
band-98   21025.0  2777.177883   196.531872  1344.0  2651.0  2780.0  2916.0  4184.0
band-99   21025.0  2480.283520   174.086537  1305.0  2367.0  2477.0  2604.0  3663.0
band-100  21025.0  2257.633769   159.030977  1254.0  2149.0  2247.0  2378.0  3269.0
band-101  21025.0  1823.735458   117.737889  1169.0  1736.0  1813.0  1918.0  2511.0
band-102  21025.0  1535.173127    83.993038  1107.0  1470.0  1525.0  1606.0  2003.0
band-103  21025.0  1087.862878    15.699009  1029.0  1076.0  1086.0  1100.0  1147.0
band-104  21025.0  1036.204090    10.499142  1001.0  1029.0  1035.0  1044.0  1072.0
band-105  21025.0  1055.556528    18.633393  1008.0  1040.0  1054.0  1072.0  1117.0
band-106  21025.0  1078.798288    30.644260  1017.0  1050.0  1075.0  1107.0  1159.0
band-107  21025.0  1095.235529    38.060570  1022.0  1059.0  1091.0  1131.0  1217.0
band-108  21025.0  1181.172604    83.408185  1034.0  1100.0  1168.0  1261.0  1412.0
band-109  21025.0  1246.261165   117.573235  1034.0  1131.0  1229.0  1360.0  1588.0
band-110  21025.0  1193.384780    86.421366  1043.0  1109.0  1182.0  1276.0  1435.0
band-111  21025.0  1269.130036   122.288874  1051.0  1149.0  1254.0  1387.0  1619.0
band-112  21025.0  1459.318811   206.324501  1095.0  1259.0  1430.0  1658.0  2039.0
band-113  21025.0  1634.688276   280.785570  1103.0  1363.0  1597.0  1905.0  2430.0
band-114  21025.0  1762.974744   325.126820  1130.0  1449.0  1717.0  2075.0  2694.0
band-115  21025.0  1860.276005   353.265724  1147.0  1520.0  1812.0  2200.0  2882.0
band-116  21025.0  1913.763187   363.108732  1162.0  1564.0  1865.0  2262.0  2973.0
band-117  21025.0  1949.244566   364.656165  1162.0  1598.0  1900.0  2299.0  3028.0
band-118  21025.0  1966.156243   358.670999  1157.0  1623.0  1920.0  2310.0  3055.0
band-119  21025.0  1963.507348   345.516187  1173.0  1634.0  1919.0  2294.0  3015.0
band-120  21025.0  1883.640666   309.032326  1148.0  1589.0  1846.0  2178.0  2844.0
band-121  21025.0  1899.150725   305.361601  1152.0  1610.0  1863.0  2189.0  2880.0
band-122  21025.0  1933.835862   309.366492  1165.0  1643.0  1897.0  2228.0  2940.0
band-123  21025.0  1906.578407   291.936215  1151.0  1633.0  1873.0  2185.0  2874.0
band-124  21025.0  1903.927039   285.255244  1160.0  1637.0  1873.0  2176.0  2872.0
band-125  21025.0  1952.779548   294.684969  1168.0  1677.0  1923.0  2234.0  2962.0
band-126  21025.0  1954.624400   290.445470  1162.0  1684.0  1926.0  2232.0  2970.0
band-127  21025.0  1910.356861   273.340364  1157.0  1656.0  1885.0  2171.0  2881.0
band-128  21025.0  1895.522235   266.979350  1147.0  1648.0  1873.0  2150.0  2878.0
band-129  21025.0  1893.369132   265.617373  1155.0  1647.0  1872.0  2146.0  2880.0
band-130  21025.0  1859.998668   255.820384  1151.0  1624.0  1838.0  2103.0  2835.0
band-131  21025.0  1843.849275   251.991719  1147.0  1611.0  1820.0  2084.0  2816.0
band-132  21025.0  1809.010939   245.779245  1129.0  1581.0  1784.0  2042.0  2772.0
band-133  21025.0  1771.472342   238.522029  1134.0  1550.0  1747.0  1999.0  2727.0
band-134  21025.0  1728.051177   230.412492  1122.0  1513.0  1704.0  1949.0  2656.0
band-135  21025.0  1696.060262   224.140403  1120.0  1488.0  1671.0  1910.0  2620.0
band-136  21025.0  1635.268109   209.470771  1111.0  1440.0  1610.0  1837.0  2521.0
band-137  21025.0  1591.510059   198.393080  1088.0  1405.0  1567.0  1783.0  2425.0
band-138  21025.0  1563.142925   194.343948  1092.0  1381.0  1539.0  1752.0  2385.0
band-139  21025.0  1518.303686   183.745927  1089.0  1345.0  1494.0  1697.0  2302.0
band-140  21025.0  1432.635196   154.739012  1072.0  1287.0  1412.0  1581.0  2106.0
band-141  21025.0  1321.412366   117.705205   955.0  1208.0  1307.0  1434.0  1839.0
band-142  21025.0  1230.804756    83.143848  1036.0  1153.0  1220.0  1312.0  1603.0
band-143  21025.0  1107.696029    38.651430  1024.0  1072.0  1103.0  1144.0  1286.0
band-144  21025.0  1038.698502    12.086120  1002.0  1030.0  1038.0  1048.0  1089.0
band-145  21025.0  1018.678288    11.088383   987.0  1010.0  1019.0  1027.0  1072.0
band-146  21025.0  1027.750868    17.021255   989.0  1013.0  1025.0  1044.0  1087.0
band-147  21025.0  1066.212319    42.700790   997.0  1025.0  1058.0  1108.0  1256.0
band-148  21025.0  1138.497170    90.359919  1003.0  1050.0  1121.0  1229.0  1506.0
band-149  21025.0  1189.580547   124.042667  1016.0  1068.0  1167.0  1314.0  1677.0
band-150  21025.0  1155.830107   101.141010  1008.0  1056.0  1138.0  1257.0  1545.0
band-151  21025.0  1063.936790    39.101626   995.0  1027.0  1058.0  1102.0  1215.0
band-152  21025.0  1067.036100    40.766181  1000.0  1028.0  1060.0  1107.0  1232.0
band-153  21025.0  1144.691320    87.961320  1011.0  1059.0  1130.0  1233.0  1496.0
band-154  21025.0  1221.617646   135.158582  1026.0  1089.0  1199.0  1356.0  1746.0
band-155  21025.0  1214.837051   128.300183  1021.0  1089.0  1192.0  1343.0  1709.0
band-156  21025.0  1163.910820    98.126365  1015.0  1069.0  1147.0  1261.0  1535.0
band-157  21025.0  1163.681474    95.993371  1017.0  1071.0  1147.0  1259.0  1536.0
band-158  21025.0  1195.364518   113.895054  1021.0  1085.0  1175.0  1309.0  1641.0
band-159  21025.0  1236.628775   136.676802  1028.0  1105.0  1212.0  1373.0  1767.0
band-160  21025.0  1248.499120   142.797316  1024.0  1111.0  1222.0  1390.0  1806.0
band-161  21025.0  1254.995719   143.890827  1026.0  1116.0  1229.0  1398.0  1816.0
band-162  21025.0  1253.893698   141.264146  1024.0  1117.0  1228.0  1394.0  1806.0
band-163  21025.0  1253.598954   139.622976  1029.0  1119.0  1228.0  1393.0  1799.0
band-164  21025.0  1254.374792   139.345592  1027.0  1120.0  1229.0  1393.0  1784.0
band-165  21025.0  1249.088989   135.489840  1019.0  1118.0  1225.0  1384.0  1761.0
band-166  21025.0  1234.321950   126.123887  1023.0  1113.0  1212.0  1360.0  1724.0
band-167  21025.0  1228.068966   121.220250  1024.0  1112.0  1207.0  1349.0  1710.0
band-168  21025.0  1226.639191   118.651873  1023.0  1112.0  1207.0  1345.0  1690.0
band-169  21025.0  1223.088181   116.213130  1032.0  1111.0  1204.0  1338.0  1680.0
band-170  21025.0  1217.272818   110.927274  1022.0  1110.0  1200.0  1328.0  1662.0
band-171  21025.0  1211.462497   107.742597  1018.0  1108.0  1194.0  1319.0  1651.0
band-172  21025.0  1222.972699   112.155944  1027.0  1115.0  1205.0  1335.0  1689.0
band-173  21025.0  1221.611510   113.404495  1028.0  1112.0  1202.0  1334.0  1691.0
band-174  21025.0  1211.583353   108.799962  1020.0  1107.0  1192.0  1319.0  1653.0
band-175  21025.0  1199.533841   104.094061  1021.0  1100.0  1180.0  1303.0  1648.0
band-176  21025.0  1184.804328    96.958495  1027.0  1092.0  1165.0  1281.0  1601.0
band-177  21025.0  1174.728704    94.966743  1022.0  1084.0  1154.0  1269.0  1586.0
band-178  21025.0  1166.305161    92.167377  1015.0  1079.0  1144.0  1258.0  1577.0
band-179  21025.0  1161.820975    90.488063  1015.0  1076.0  1141.0  1252.0  1565.0
band-180  21025.0  1149.567562    85.149059  1017.0  1069.0  1129.0  1234.0  1542.0
band-181  21025.0  1148.084661    85.052178  1013.0  1067.0  1127.0  1232.0  1550.0
band-182  21025.0  1143.412224    84.259071  1009.0  1064.0  1122.0  1227.0  1546.0
band-183  21025.0  1132.359049    77.447304  1015.0  1058.0  1114.0  1209.0  1510.0
band-184  21025.0  1131.622354    77.209432  1018.0  1058.0  1113.0  1208.0  1526.0
band-185  21025.0  1112.867729    68.365788  1002.0  1047.0  1096.0  1181.0  1458.0
band-186  21025.0  1103.281665    63.499265  1008.0  1042.0  1090.0  1166.0  1431.0
band-187  21025.0  1105.472010    63.683355  1009.0  1045.0  1092.0  1168.0  1449.0
band-188  21025.0  1088.798526    54.247073  1006.0  1035.0  1078.0  1143.0  1377.0
band-189  21025.0  1080.433864    49.002958  1001.0  1034.0  1071.0  1128.0  1347.0
band-190  21025.0  1080.911772    50.557675  1001.0  1032.0  1070.0  1131.0  1363.0
band-191  21025.0  1079.310773    49.943791   998.0  1031.0  1068.0  1129.0  1364.0
band-192  21025.0  1061.927848    38.843805   998.0  1026.0  1053.0  1099.0  1287.0
band-193  21025.0  1060.210273    38.712195   999.0  1024.0  1052.0  1098.0  1289.0
band-194  21025.0  1063.276813    41.920969   999.0  1024.0  1054.0  1104.0  1315.0
band-195  21025.0  1050.048514    34.242725   993.0  1019.0  1043.0  1083.0  1258.0
band-196  21025.0  1040.201141    26.452672   990.0  1016.0  1033.0  1066.0  1201.0
band-197  21025.0  1043.370321    29.794418   992.0  1016.0  1035.0  1072.0  1245.0
band-198  21025.0  1030.194816    20.865106   989.0  1012.0  1026.0  1050.0  1167.0
band-199  21025.0  1015.571463    11.386402   986.0  1006.0  1014.0  1024.0  1076.0
band-200  21025.0  1008.513579     7.050921   981.0  1004.0  1009.0  1014.0  1036.0
